Ticker,Market Cap
AAPL,2829863354368.0
MSFT,2675043205120.0
NVDA,2301163732992.0
AMZN,1812206583808.0
META,1278814191616.0
BRKB,
GOOGL,1786628538368.0
AVGO,687848226816.0
TSLA,770131361792.0
GOOG,1786634698752.0
JPM,587966054400.0
LLY,662904504320.0
V,604030894080.0
XOM,452745854976.0
UNH,480269533184.0
MA,446527242240.0
COST,406626598912.0
NFLX,366100086784.0
PG,383969165312.0
WMT,666921795584.0
JNJ,369285431296.0
HD,351787909120.0
ABBV,330728505344.0
BAC,261460295680.0
KO,300948652032.0
CVX,252258779136.0
CRM,231370358784.0
CSCO,216975933440.0
PM,234438508544.0
WFC,199109443584.0
ORCL,359698595840.0
IBM,210934005760.0
ABT,215818780672.0
LIN,207116533760.0
MCD,214416883712.0
MRK,205796491264.0
GE,177916198912.0
PEP,201047752704.0
T,191226707968.0
ACN,178580389888.0
VZ,181143388160.0
TMO,165206360064.0
PLTR,173580091392.0
ISRG,161789820928.0
DIS,151004692480.0
RTX,156806316032.0
QCOM,140970754048.0
GS,146323046400.0
NOW,149011349504.0
INTU,156982444032.0
ADBE,148773634048.0
AMD,139328274432.0
PGR,151037853696.0
AMGN,158147788800.0
TXN,137752494080.0
CAT,137682649088.0
SPGI,138467377152.0
BKNG,140580978688.0
AXP,163835379712.0
UBER,135137230848.0
BSX,132672569344.0
UNP,127810560000.0
NEE,137739599872.0
BLK,127714213888.0
TJX,136464941056.0
HON,124128026624.0
GILD,133701066752.0
PFE,130273206272.0
CMCSA,126210449408.0
COP,109085229056.0
MS,161011826688.0
SYK,131988045824.0
C,109409959936.0
LOW,124976971776.0
DHR,130047344640.0
SCHW,125407428608.0
FI,110932803584.0
ADP,116418002944.0
BA,102771269632.0
VRTX,122015776768.0
TMUS,283277131776.0
CB,112464257024.0
BMY,112522223616.0
AMAT,103139385344.0
MMC,113466269696.0
DE,116670021632.0
MDT,106296918016.0
SBUX,93259849728.0
PANW,101678694400.0
ETN,96578895872.0
BX,152381243392.0
PLD,91056955392.0
AMT,103065542656.0
SO,97549393920.0
ELV,97095131136.0
ADI,81637654528.0
MU,72329134080.0
MO,94553079808.0
ICE,90046816256.0
LMT,101370716160.0
INTC,86557712384.0
LRCX,75851472896.0
XTSLA,
CME,91703066624.0
WELL,92911673344.0
WM,90605166592.0
DUK,92411232256.0
KLAC,76613345280.0
GEV,74207969280.0
CI,87405215744.0
MDLZ,85773967360.0
MCK,85611438080.0
CVS,80262529024.0
CRWD,79723388928.0
AJG,81643405312.0
SHW,83516407808.0
SPOT,103029030912.0
ANET,81178296320.0
ORLY,79556853760.0
KKR,85628379136.0
PH,66601119744.0
UPS,82812354560.0
MMM,68444852224.0
EQIX,74576756736.0
APH,71604076544.0
TT,71349207040.0
AON,81164533760.0
NKE,84500430848.0
TDG,69424324608.0
APP,74576584704.0
CL,74343964672.0
GD,67098181632.0
WMB,66613055488.0
MCO,72392728576.0
ITW,66174574592.0
ZTS,67943477248.0
APO,61999767552.0
EOG,60973191168.0
CDNS,63882240000.0
MSTR,76472770560.0
MSI,67141234688.0
CTAS,76852781056.0
CMG,64094031872.0
PNC,60589330432.0
NOC,70281928704.0
COF,57662140416.0
SNPS,60012662784.0
PYPL,57742053376.0
CEG,53563482112.0
USB,57381511168.0
DASH,68542865408.0
BDX,59534569472.0
REGN,62692421632.0
APD,58615750656.0
AZO,61113954304.0
HCA,81653227520.0
EMR,53328027648.0
ECL,67439419392.0
ROP,58181193728.0
OKE,50506936320.0
CRH,54729744384.0
AFL,55662211072.0
FTNT,65139789824.0
BK,52634673152.0
TRV,54926884864.0
SLB,47295926272.0
ADSK,52293627904.0
CSX,51284045824.0
AEP,55791067136.0
KMI,56193368064.0
NEM,49802350592.0
HLT,50248683520.0
SPG,55055888384.0
TFC,45414518784.0
MAR,59089539072.0
AIG,46088876032.0
JCI,47331962880.0
CARR,49402830848.0
FCX,41890586624.0
FDX,50344542208.0
MRVL,42809544704.0
HWM,45496233984.0
NSC,47720165376.0
ALL,49445904384.0
ABNB,66272129024.0
LNG,44117917696.0
PSX,40284635136.0
PCAR,47706091520.0
CPRT,52661727232.0
RSG,73518129152.0
RCL,47886118912.0
O,49181061120.0
PAYX,51622576128.0
WDAY,57759240192.0
DLR,47132114944.0
TGT,43607736320.0
COR,53927763968.0
SNOW,43610071040.0
MET,47052419072.0
AMP,40451710976.0
MPC,37717057536.0
GM,43959189504.0
KMB,45738127360.0
D,44937293824.0
PSA,49911398400.0
SRE,42948026368.0
EXC,45782634496.0
KVUE,42677989376.0
CCI,43969822720.0
BKR,35068293120.0
FICO,40916758528.0
KR,44398858240.0
YUM,41259651072.0
HES,41175478272.0
FAST,42676224000.0
TRGP,35072524288.0
DFS,36995997696.0
CTVA,38105407488.0
MSCI,39378157568.0
CMI,38240215040.0
GWW,45398171648.0
VST,33359196160.0
ROST,42848661504.0
URI,36884545536.0
VRSK,39977254912.0
VLO,32920922112.0
EW,40627965952.0
KDP,45871718400.0
MNST,55547916288.0
PEG,38753148928.0
OTIS,37657411584.0
CBRE,35428368384.0
XEL,39006404608.0
FIS,37025472512.0
PRU,34212839424.0
AXON,38607863808.0
LHX,37929893888.0
AME,35225837568.0
F,38095347712.0
PWR,35488976896.0
ED,38597832704.0
PCG,36062457856.0
CTSH,33999902720.0
EA,35272040448.0
COIN,40760274944.0
ETR,34043910144.0
SYY,34950594560.0
TTWO,34342592512.0
HIG,32411402240.0
DHI,41024405504.0
NET,33499881472.0
GEHC,27671099392.0
TEAM,49169539072.0
GLW,33474277376.0
ACGL,32999137280.0
CHTR,48041918464.0
WEC,33160599552.0
IDXX,31907485696.0
ALNY,30511122432.0
NU,46143266816.0
WTW,30688790528.0
GRMN,34336419840.0
OXY,38098804736.0
VEEV,34764881920.0
CAH,31314460672.0
VICI,32324454400.0
A,29365610496.0
CSGP,30628429824.0
ODFL,32319590400.0
LULU,31811979264.0
FERG,31218714624.0
IR,28094883840.0
GIS,32642496512.0
XYZ,31135064064.0
RBLX,35340206080.0
EBAY,29078401024.0
NDAQ,39253647360.0
RMD,30132703232.0
IT,29439805440.0
HUM,30628263936.0
EQT,27548006400.0
VMC,30480986112.0
WAB,27515527168.0
DD,24749971456.0
IQV,27281219584.0
EXR,30624436224.0
DDOG,30139238400.0
CNC,30720995328.0
AVB,27292135424.0
FANG,35708334080.0
EFX,26216525824.0
MTB,25796816896.0
MLM,28700510208.0
BRO,32965087232.0
TSCO,27856627712.0
ROK,25680009216.0
VTR,28673595392.0
STZ,31426238464.0
HUBS,26154780672.0
NUE,23796338688.0
BR,26333954048.0
HOOD,30557257728.0
ARES,37230878720.0
DTE,27350872064.0
RJF,25337122816.0
IP,25327491072.0
XYL,25454303232.0
AWK,28711469056.0
DAL,24062083072.0
ANSS,25142919168.0
MPWR,22850750464.0
VRT,22621902848.0
EQR,24965429248.0
AEE,25878435840.0
PPL,25467731968.0
KHC,35420114944.0
FITB,22430621696.0
DXCM,23459762176.0
CHD,26109808640.0
LEN,29171468288.0
KEYS,21950453760.0
TPL,24800600064.0
STT,22005063680.0
HPQ,21314514944.0
MCHP,19479805952.0
FTV,21822795776.0
EXE,23272327168.0
CPNG,36218130432.0
DELL,49986351104.0
IRM,22673868800.0
WBD,19809912832.0
GDDY,23241752576.0
GPN,20869953536.0
PPG,22504572928.0
TTD,22939156480.0
LPLA,22657347584.0
MTD,21313257472.0
TYL,23201695744.0
DOW,19902543872.0
CPAY,20272015360.0
CVNA,19012075520.0
DRI,22513463296.0
DOV,21045870592.0
SW,21432334336.0
VLTO,22031978496.0
ATO,23461584896.0
MKL,21901950976.0
CBOE,22522503168.0
DVN,19009116160.0
HSY,32863823872.0
CNP,23550390272.0
SBAC,23665614848.0
FE,22721449984.0
UAL,18877698048.0
TDY,20447934464.0
ADM,20800358400.0
EIX,21080064000.0
ES,21415563264.0
HAL,17222379520.0
CINF,20618043392.0
STE,20889102336.0
ZBH,21367422976.0
CMS,21742669824.0
CDW,19143770112.0
HBAN,18405449728.0
WY,19060795392.0
SYF,17031138304.0
WAT,19303790592.0
K,28390563840.0
FCNCA,21090508800.0
VRSN,22722920448.0
CTRA,19194091520.0
LYV,27927693312.0
INVH,19943213056.0
PHM,20408463360.0
HPE,16800688128.0
NRG,17028598784.0
EXPE,18279653376.0
MKC,20510853120.0
CCL,22355189760.0
USD,
NVR,22003052544.0
WRB,24812756992.0
TROW,18357188608.0
WSM,17498755072.0
IFF,18699343872.0
LH,18832500736.0
DG,20371492864.0
ZM,20679602176.0
RF,16895977472.0
ESS,18698358784.0
PFG,16453149696.0
ZS,27025813504.0
MAA,18365925376.0
NTRS,16769542144.0
BIIB,18001199104.0
LDOS,17070411776.0
LUV,15332140032.0
PODD,17223651328.0
FWONK,19872149504.0
NI,17515919360.0
PTC,16817685504.0
MOH,18965002240.0
DGX,18220367872.0
HUBB,16925979648.0
PINS,17484949504.0
LYB,18753400832.0
RBA,17193351168.0
CFG,14980583424.0
STLD,16370250752.0
CLX,17722114048.0
IBKR,61737058304.0
NTAP,15705288704.0
LII,18903494656.0
PKG,16494611456.0
DECK,16091078656.0
NTNX,15599726592.0
WSO,19478218752.0
SSNC,18320285696.0
SNA,16511082496.0
TSN,21303963648.0
EME,15552538624.0
ON,14223051776.0
ULTA,16282421248.0
TPR,13029524480.0
TW,28527872000.0
FDS,15827705856.0
SMCI,17697603584.0
FNF,16521400320.0
OKTA,15959324672.0
EQH,13882681344.0
BAX,14767082496.0
HEIA,
EXPD,15012757504.0
DOCU,14621802496.0
TRU,13874453504.0
GPC,16211125248.0
CASY,15137386496.0
DPZ,15235069952.0
NTRA,18097348608.0
TOST,17560500224.0
L,17483628544.0
BBY,12775202816.0
LNT,15761726464.0
BURL,14582138880.0
TRMB,13889705984.0
WST,14690600960.0
FFIV,13793312768.0
SUI,16537867264.0
DLTR,14528858112.0
RS,14025952256.0
COO,14750826496.0
EL,19039715328.0
DKNG,15833606144.0
GWRE,14616212480.0
ARE,14060545024.0
SFM,14323472384.0
CSL,14449657856.0
EVRG,15222259712.0
BALL,13723619328.0
TWLO,12757149696.0
EG,14469649408.0
OMC,14269451264.0
ROL,25325817856.0
RPM,13914914816.0
MAS,13337970688.0
BJ,15196843008.0
BLDR,14084459520.0
J,13657528320.0
UDR,15241106432.0
JBL,12802450432.0
GEN,14655637504.0
KEY,14759348224.0
PNR,12993037312.0
AVY,13443961856.0
USFD,14230511616.0
ZBRA,11430016000.0
WDC,10622544896.0
KIM,13127920640.0
DT,12575693824.0
APTV,12160637952.0
AMCR,13326035968.0
FTI,10581591040.0
PSTG,12121535488.0
DOC,12875123712.0
GGG,12739663872.0
BAH,13545823232.0
CF,12163743744.0
FSLR,13777809408.0
IEX,12275160064.0
ITCI,14047055872.0
TXT,11028026368.0
JKHY,12583600128.0
UNM,12581289984.0
WPC,12952430592.0
HOLX,13737502720.0
REG,12558983168.0
UTHR,13135022080.0
LVS,23580174336.0
RGA,11382605824.0
TER,11052443648.0
THC,11447812096.0
SOFI,10493887488.0
ILMN,11746945024.0
GLPI,13161751552.0
ELS,13226315776.0
ENTG,9894879232.0
ACM,11842582528.0
MDB,12534567936.0
RNR,11401806848.0
BMRN,11496221696.0
RVTY,11394741248.0
CPT,12014673920.0
KMX,11645735936.0
EWBC,10250097664.0
OC,11474415616.0
INSM,12578308096.0
XPO,10783399936.0
JBHT,13467077632.0
FOXA,21605447680.0
TKO,11383279616.0
AMH,14951917568.0
CAG,12736017408.0
AFRM,11443467264.0
DUOL,13250711552.0
ALGN,11297967104.0
RPRX,17933453312.0
CW,10673364992.0
FIX,10541849600.0
SJM,12254982144.0
AR,10412082176.0
AKAM,10767215616.0
PFGC,11447507968.0
HEI,29293805568.0
POOL,11883118592.0
DKS,14603210752.0
JLL,10406291456.0
FTAI,9057304576.0
JNPR,11311801344.0
CHRW,10751563776.0
OVV,8575072256.0
NDSN,10058004480.0
TXRH,10622792704.0
SWK,9717349376.0
SCI,11106920448.0
LKQ,10675653632.0
ALLE,10668945408.0
PAYC,11207855104.0
NLY,11251960832.0
Z,16060561408.0
OWL,24284706816.0
MANH,9231654912.0
RGLD,10239414272.0
GL,9757721600.0
ITT,9178663936.0
WWD,9336718336.0
PNW,10848727040.0
TOL,10029215744.0
AVTR,10309915648.0
LECO,9638263808.0
AIZ,9498593280.0
UHS,11379826688.0
CNH,13378988032.0
TAP,12392658944.0
NBIX,9536640000.0
KNSL,10686886912.0
EXEL,9675486208.0
BXP,10662377472.0
CCK,9736083456.0
SOLV,11452798976.0
SWKS,8105688576.0
EMN,8720693248.0
NWSA,14515104768.0
DOX,9388043264.0
FHN,8334500864.0
EHC,9865453568.0
CLH,10195092480.0
VTRS,9095917568.0
BG,9806456832.0
SGI,11828684800.0
RIVN,12675259392.0
HST,9304027136.0
OHI,10801490944.0
BRBR,8961850368.0
LAMR,10754756608.0
ALLY,9865176064.0
WTRG,10899729408.0
PEN,10101950464.0
INCY,11723683840.0
CG,12963575808.0
DTM,8861783040.0
SAIA,8585978880.0
CNM,9135490048.0
JEF,8897625088.0
RBC,9710598144.0
ATR,9247127552.0
IPG,8831781888.0
RL,12205841408.0
PRI,8217306112.0
AFG,10229859328.0
BWXT,8156063232.0
OGE,8790024192.0
RRC,8072522240.0
LBRDK,11045885952.0
EPAM,8230001152.0
PR,8637614080.0
BLD,8863958016.0
SSB,8259220480.0
X,8669047808.0
SF,8210132992.0
ORI,8971980800.0
AIT,8091853824.0
CIEN,7604810752.0
ACI,12728955904.0
CUBE,9099260928.0
ARMK,8313692672.0
TECH,8176311808.0
NVT,7448133120.0
FYBR,8899343360.0
INGR,8401292288.0
CHE,8743087104.0
WBS,7155366400.0
HRL,16904326144.0
MRNA,9708103680.0
G,8268739584.0
ROKU,8067784192.0
CACI,8656470016.0
MUSA,9304347648.0
AES,7674292736.0
COHR,7838231552.0
CRS,7575204864.0
HAS,
MOS,
HSIC,
DAY,8148910592.0
MLI,7819373568.0
QGEN,8268597760.0
ALSN,7324348928.0
EGP,8346209792.0
HLI,10268496896.0
PCTY,9773553664.0
FND,7693829120.0
WYNN,7441244672.0
GME,10502002688.0
AYI,7218766848.0
GMED,9467016192.0
COOP,8587212288.0
REXR,8198040064.0
NCLH,6902736896.0
ENPH,7586614272.0
ALB,6883759616.0
DCI,7271475200.0
PLNT,7816063488.0
MIDD,7266914816.0
FRT,7696342016.0
HII,7256624128.0
APG,8984552448.0
COKE,11386205184.0
TTEK,7799847936.0
WAL,6859193344.0
MORN,11495698432.0
LNW,6738721792.0
MTCH,7197329408.0
NYT,7745461760.0
PNFP,6745603072.0
BERY,7689120256.0
LAD,7410393088.0
CHDN,7544258048.0
MSFUT,
EXAS,7903875584.0
SCCO,62412783616.0
SNX,8040508928.0
BRX,7332718080.0
AXS,7135987200.0
WBA,9235369984.0
CR,7882890752.0
ESTC,7950005760.0
CMA,6772853760.0
EXP,7233062400.0
MEDP,8678875136.0
RRX,6556799488.0
MKTX,8026390016.0
APA,5526491648.0
WMS,7842802688.0
AOS,8897362944.0
LW,8325843968.0
SEIC,8762088448.0
HALO,7383567360.0
CBSH,7430381056.0
ADC,8011597824.0
JAZZ,6683004416.0
AGNC,8220866048.0
HRB,7431296512.0
NNN,7626659328.0
TTC,6561175040.0
AA,6422936576.0
SKX,7497621504.0
CRL,6723938816.0
MTZ,8410481152.0
AXTA,6485391360.0
GPK,7547380224.0
HQY,6815916544.0
CFR,6868005888.0
FBIN,6428773888.0
RYAN,18483902464.0
OLLI,6939125760.0
CPB,11566480384.0
EVR,6414002688.0
ZION,6107632640.0
GNRC,6668422144.0
BECN,7564631552.0
CWST,6878832128.0
ENSG,7430707200.0
MASI,7802682368.0
NFG,6613026816.0
WTFC,6442220032.0
KBR,6167602176.0
KD,6685298688.0
EXLS,6956391936.0
BBWI,5846227968.0
AZEK,6651531776.0
PCOR,8593643520.0
CORT,7854697984.0
BFAM,6572791296.0
DVA,11959200768.0
CHRD,5224367616.0
DOCS,9614519296.0
RGEN,6285274624.0
FN,6155301376.0
UGI,6663499264.0
CVLT,6131065856.0
QRVO,5262909440.0
KNX,6314798592.0
WCC,6640145920.0
MGM,7669900288.0
LSCC,5371074048.0
EAT,5998040064.0
RLI,7039684096.0
ESAB,6493254656.0
CART,9889671168.0
FR,6507175936.0
ALAB,8584379392.0
AAL,6220668928.0
PRMB,12554752000.0
FAF,6353313792.0
SSD,6201297920.0
UMBF,6311920640.0
WH,6381516288.0
WING,6483517952.0
LNTH,6238138880.0
BROS,8379834368.0
CAVA,8691588096.0
PARA,7890817536.0
TFX,5894671872.0
STAG,6260056576.0
VNO,6859445760.0
FOX,21607835648.0
VOYA,5407744000.0
ONB,5731980800.0
BPOP,5720467456.0
RKLB,7424531968.0
UFPI,6474149376.0
ATI,6065622528.0
FLS,5279022080.0
WEX,4926564864.0
PB,6138728960.0
MTG,5612075008.0
MAT,5311919104.0
AUR,9885641728.0
SNV,5397702656.0
OLED,5383945216.0
SLM,5374203904.0
U,6931531776.0
AWI,5676002816.0
MTSI,6665306624.0
CELH,9154428928.0
ESNT,5631705088.0
MTDR,4805444608.0
OSK,5336881152.0
TREX,5899244544.0
IDA,6179911168.0
GTLS,5278404096.0
FLR,5211949568.0
CE,4580796416.0
ONTO,5145790464.0
LNC,5107008000.0
HR,5710060544.0
NXT,5756542464.0
ALK,5456326656.0
BWA,5687670272.0
SPXC,5722918400.0
MMSI,5463706624.0
R,5583787520.0
STWD,6330411520.0
CROX,5642056704.0
THG,5681250816.0
MTN,5423344640.0
TMHC,6045271552.0
AM,7815635968.0
COLD,5518262784.0
HLNE,7732877824.0
VMI,5324408320.0
UHALB,
MHK,6612337664.0
TRNO,5754641408.0
KEX,5073505280.0
JXN,5110667264.0
DBX,7465528320.0
NOV,4558415360.0
CRDO,5654372864.0
BMI,5081321472.0
BFB,
LPX,5996236800.0
ACIW,5285760512.0
HIMS,5774094336.0
IVZ,5736779264.0
VNOM,8248617472.0
JBTM,5386213888.0
RITM,5440897024.0
SAIC,5332244992.0
SN,9836920832.0
BEN,9199719424.0
CFLT,6737102848.0
MDGL,6941794304.0
SRPT,5281457152.0
RHI,4947453440.0
POST,6637741056.0
ETSY,4756137984.0
CHX,4645980160.0
RMBS,4633608704.0
SIGI,5246127616.0
BSY,11717962752.0
OPCH,5508743680.0
XP,6981124096.0
GTLB,6738760192.0
RVMD,5822794752.0
BPMC,5219842048.0
FCN,5673958912.0
VFC,4503463936.0
AGCO,5917335552.0
CZR,4914461184.0
ARW,4789426176.0
EPRT,5785620480.0
SITE,5009312768.0
OMF,4897669120.0
CMC,4627390976.0
HOMB,4987601408.0
NXST,4680721408.0
GNTX,5009440768.0
SNDK,4361825280.0
LRN,5443760640.0
WTS,6252026880.0
H,10474363904.0
KNF,4749805568.0
LOPE,4803074048.0
RHP,5076659200.0
AAON,6033765888.0
FOUR,6459604992.0
MSA,5267202048.0
DINO,5179308544.0
